Source,Target,type
3YO2a6i2cfdFbgxk2HDfPe,0YhUSm86okLWldQVwJkLlP,undirected
3YO2a6i2cfdFbgxk2HDfPe,0ZxZlO7oWCSYMXhehpyMvE,undirected
3YO2a6i2cfdFbgxk2HDfPe,0hSgRl2U8kSaJLE2Di325f,undirected
3YO2a6i2cfdFbgxk2HDfPe,25pd339V2rRJo84USlcSRP,undirected
3YO2a6i2cfdFbgxk2HDfPe,1jNnM5dm7dzt16IocWCvJc,undirected
3YO2a6i2cfdFbgxk2HDfPe,2D4FOOOtWycb3Aw9nY5n3c,undirected
3YO2a6i2cfdFbgxk2HDfPe,5CXdWANGwYYRPClH6hhC0P,undirected
3YO2a6i2cfdFbgxk2HDfPe,6sHCvZe1PHrOAuYlwTLNH4,undirected
3YO2a6i2cfdFbgxk2HDfPe,1eIoJGCu3rShrRm2wfOhN8,undirected
3YO2a6i2cfdFbgxk2HDfPe,7sOR7gk6XUlGnxj3p9F54k,undirected
0pu9LAsUMg8nhMK1hmiM5b,7cfhZmKaLWzNLwHDxzugUH,undirected
0pu9LAsUMg8nhMK1hmiM5b,4XMc1qHObZ7aXQrH5MmbjK,undirected
0pu9LAsUMg8nhMK1hmiM5b,1Zp054Jc86WVKCxKEqZGOA,undirected
5SHxzwjek1Pipl1Yk11UHv,6hl5k4gLl1p3sjhHcb57t2,undirected
5SHxzwjek1Pipl1Yk11UHv,4fgXfJCQnK6c44u4KzAtQP,undirected
5SHxzwjek1Pipl1Yk11UHv,58bHgbHOExsHSOGlf0uUkL,undirected
5SHxzwjek1Pipl1Yk11UHv,1eIoJGCu3rShrRm2wfOhN8,undirected
6hk7Yq1DU9QcCCrz9uc0Ti,7bcbShaqKdcyjnmv4Ix8j6,undirected
6hk7Yq1DU9QcCCrz9uc0Ti,6ueGR6SWhUJfvEhqkvMsVs,undirected
6hk7Yq1DU9QcCCrz9uc0Ti,2AsusXITU8P25dlRNhcAbG,undirected
6hk7Yq1DU9QcCCrz9uc0Ti,59pWgeY26Q6yJy37QvJflh,undirected
6DIS6PRrLS3wbnZsf7vYic,3RbyaF3Pq6iDUKNp04AIcU,undirected
6DIS6PRrLS3wbnZsf7vYic,6ejhZKxWJr9apHAzj74DHv,undirected
6DIS6PRrLS3wbnZsf7vYic,2eam0iDomRHGBypaDQLwWI,undirected
6DIS6PRrLS3wbnZsf7vYic,3nUbzTTtP2w4HqvT5y5vkV,undirected
6DIS6PRrLS3wbnZsf7vYic,5ivCbtrcD5N4rD337xIb2z,undirected
6DIS6PRrLS3wbnZsf7vYic,0L8jXe7QeS9oYUoXbANmX4,undirected
6DIS6PRrLS3wbnZsf7vYic,0MlOPi3zIDMVrfA9R04Fe3,undirected
6DIS6PRrLS3wbnZsf7vYic,0YhUSm86okLWldQVwJkLlP,undirected
6DIS6PRrLS3wbnZsf7vYic,7gjAu1qr5C2grXeQFFOGeh,undirected
6DIS6PRrLS3wbnZsf7vYic,42vg2T0Xg9yPaAgogJzoQH,undirected
6DIS6PRrLS3wbnZsf7vYic,3kVUvbeRdcrqQ3oHk5hPdx,undirected
6DIS6PRrLS3wbnZsf7vYic,4AcHt3JxKy59IX7JNNlZn4,undirected
6DIS6PRrLS3wbnZsf7vYic,6AGUQK1EWK6nvN4pLIDQDQ,undirected
6DIS6PRrLS3wbnZsf7vYic,1dWEYMPtNmvSVaDNLgB6NV,undirected
6DIS6PRrLS3wbnZsf7vYic,716ZwtZBmwROBXcFmCzfdM,undirected
6DIS6PRrLS3wbnZsf7vYic,4j56EQDQu5XnL7R3E9iFJT,undirected
6DIS6PRrLS3wbnZsf7vYic,0RpddSzUHfncUWNJXKOsjy,undirected
6DIS6PRrLS3wbnZsf7vYic,5WId4o5jdGVhptNU0uqKxu,undirected
6DIS6PRrLS3wbnZsf7vYic,4iiQabGKtS2RtTKpVkrVTw,undirected
0Wkm45quqfx3NepJpXDvwE,3kzwYV3OCB010YfXMF0Avt,undirected
