id,target,name,rel,x,y
chamber psych,abstract hip hop,chamber psych,chamber psych-->abstract hip hop,,
escape room,abstract hip hop,escape room,escape room-->abstract hip hop,,
ninja,abstract hip hop,ninja,ninja-->abstract hip hop,,
scottish hip hop,abstract hip hop,scottish hip hop,scottish hip hop-->abstract hip hop,,
indie folk,acoustic pop,indie folk,indie folk-->acoustic pop,,
indie poptimism,acoustic pop,indie poptimism,indie poptimism-->acoustic pop,,
indiecoustica,acoustic pop,indiecoustica,indiecoustica-->acoustic pop,,
lilith,acoustic pop,lilith,lilith-->acoustic pop,,
neo mellow,acoustic pop,neo mellow,neo mellow-->acoustic pop,,
piano rock,acoustic pop,piano rock,piano rock-->acoustic pop,,
pop,acoustic pop,pop,pop-->acoustic pop,,
pop rock,acoustic pop,pop rock,pop rock-->acoustic pop,,
post-teen pop,acoustic pop,post-teen pop,post-teen pop-->acoustic pop,,
stomp and holler,acoustic pop,stomp and holler,stomp and holler-->acoustic pop,,
alternative rock,acoustic punk,alternative rock,alternative rock-->acoustic punk,,
pop rock,acoustic punk,pop rock,pop rock-->acoustic punk,,
rock,acoustic punk,rock,rock-->acoustic punk,,
disco,adult standards,disco,disco-->adult standards,,
jazz funk,adult standards,jazz funk,jazz funk-->adult standards,,
jazz guitar,adult standards,jazz guitar,jazz guitar-->adult standards,,
jump blues,adult standards,jump blues,jump blues-->adult standards,,
lounge,adult standards,lounge,lounge-->adult standards,,
motown,adult standards,motown,motown-->adult standards,,
quiet storm,adult standards,quiet storm,quiet storm-->adult standards,,
smooth jazz,adult standards,smooth jazz,smooth jazz-->adult standards,,
soul,adult standards,soul,soul-->adult standards,,
soul jazz,adult standards,soul jazz,soul jazz-->adult standards,,
swing,adult standards,swing,swing-->adult standards,,
vocal jazz,adult standards,vocal jazz,vocal jazz-->adult standards,,
yacht rock,adult standards,yacht rock,yacht rock-->adult standards,,
alternative r&b,afrofuturism,alternative r&b,alternative r&b-->afrofuturism,,
atl hip hop,afrofuturism,atl hip hop,atl hip hop-->afrofuturism,,
dance pop,afrofuturism,dance pop,dance pop-->afrofuturism,,
electropop,afrofuturism,electropop,electropop-->afrofuturism,,
escape room,afrofuturism,escape room,escape room-->afrofuturism,,
indie soul,afrofuturism,indie soul,indie soul-->afrofuturism,,
neo soul,afrofuturism,neo soul,neo soul-->afrofuturism,,
pop,afrofuturism,pop,pop-->afrofuturism,,
post-teen pop,afrofuturism,post-teen pop,post-teen pop-->afrofuturism,,
r&b,afrofuturism,r&b,r&b-->afrofuturism,,
rap,afrofuturism,rap,rap-->afrofuturism,,
desert blues,afropop,desert blues,desert blues-->afropop,,
griot,afropop,griot,griot-->afropop,,
mbalax,afropop,mbalax,mbalax-->afropop,,
musique peule,afropop,musique peule,musique peule-->afropop,,
world,afropop,world,world-->afropop,,
birmingham hip hop,afroswing,birmingham hip hop,birmingham hip hop-->afroswing,,
grime,afroswing,grime,grime-->afroswing,,
trap queen,afroswing,trap queen,trap queen-->afroswing,,
indie folk,alabama indie,indie folk,indie folk-->alabama indie,,
indie rock,alabama indie,indie rock,indie rock-->alabama indie,,
modern blues rock,alabama indie,modern blues rock,modern blues rock-->alabama indie,,
rock,alabama indie,rock,rock-->alabama indie,,
hip hop,alabama rap,hip hop,hip hop-->alabama rap,,
pop rap,alabama rap,pop rap,pop rap-->alabama rap,,
