id,target,name,rel,x,y
chamber psych,abstract hip hop,chamber psych,chamber psych-->abstract hip hop,57.270973205566406,17.457914352416992
escape room,abstract hip hop,escape room,escape room-->abstract hip hop,12.269607543945312,257.9753723144531
ninja,abstract hip hop,ninja,ninja-->abstract hip hop,-82.42953491210938,291.3221740722656
scottish hip hop,abstract hip hop,scottish hip hop,scottish hip hop-->abstract hip hop,76.20917510986328,263.389404296875
indie folk,acoustic pop,indie folk,indie folk-->acoustic pop,-45.35993194580078,-112.01838684082031
indie poptimism,acoustic pop,indie poptimism,indie poptimism-->acoustic pop,-88.34822845458984,38.58013916015625
indiecoustica,acoustic pop,indiecoustica,indiecoustica-->acoustic pop,-124.85296630859375,-14.00944709777832
lilith,acoustic pop,lilith,lilith-->acoustic pop,-149.3134307861328,89.03045654296875
neo mellow,acoustic pop,neo mellow,neo mellow-->acoustic pop,-126.34034729003906,56.889713287353516
piano rock,acoustic pop,piano rock,piano rock-->acoustic pop,-55.62459945678711,-21.93168830871582
pop,acoustic pop,pop,pop-->acoustic pop,-77.7166976928711,155.1494140625
pop rock,acoustic pop,pop rock,pop rock-->acoustic pop,-108.90675354003906,5.89764928817749
post-teen pop,acoustic pop,post-teen pop,post-teen pop-->acoustic pop,-98.18046569824219,159.3038787841797
stomp and holler,acoustic pop,stomp and holler,stomp and holler-->acoustic pop,-79.57113647460938,-70.82070922851562
alternative rock,acoustic punk,alternative rock,alternative rock-->acoustic punk,-102.46182250976562,-98.27883911132812
pop rock,acoustic punk,pop rock,pop rock-->acoustic punk,-108.90675354003906,5.89764928817749
rock,acoustic punk,rock,rock-->acoustic punk,-128.92893981933594,-62.63699722290039
disco,adult standards,disco,disco-->adult standards,-569.6290283203125,419.19525146484375
jazz funk,adult standards,jazz funk,jazz funk-->adult standards,-578.3786010742188,477.2862548828125
jazz guitar,adult standards,jazz guitar,jazz guitar-->adult standards,-595.1185913085938,443.3295593261719
jump blues,adult standards,jump blues,jump blues-->adult standards,-649.5443115234375,464.3770751953125
lounge,adult standards,lounge,lounge-->adult standards,-655.4481201171875,433.0819091796875
motown,adult standards,motown,motown-->adult standards,-552.5048217773438,433.01568603515625
quiet storm,adult standards,quiet storm,quiet storm-->adult standards,-473.92083740234375,415.4233703613281
smooth jazz,adult standards,smooth jazz,smooth jazz-->adult standards,-577.77783203125,458.6208190917969
soul,adult standards,soul,soul-->adult standards,-489.5726318359375,369.96612548828125
soul jazz,adult standards,soul jazz,soul jazz-->adult standards,-598.22265625,481.70318603515625
swing,adult standards,swing,swing-->adult standards,-662.9793090820312,451.0665283203125
vocal jazz,adult standards,vocal jazz,vocal jazz-->adult standards,-643.1580810546875,446.6951904296875
yacht rock,adult standards,yacht rock,yacht rock-->adult standards,-597.4253540039062,464.7402648925781
alternative r&b,afrofuturism,alternative r&b,alternative r&b-->afrofuturism,-32.40303421020508,235.97833251953125
atl hip hop,afrofuturism,atl hip hop,atl hip hop-->afrofuturism,-28.1386775970459,404.9469299316406
dance pop,afrofuturism,dance pop,dance pop-->afrofuturism,-87.91676330566406,195.474365234375
electropop,afrofuturism,electropop,electropop-->afrofuturism,-49.132713317871094,85.85165405273438
escape room,afrofuturism,escape room,escape room-->afrofuturism,12.269607543945312,257.9753723144531
indie soul,afrofuturism,indie soul,indie soul-->afrofuturism,-150.7460174560547,191.67201232910156
neo soul,afrofuturism,neo soul,neo soul-->afrofuturism,-130.9215545654297,347.19091796875
pop,afrofuturism,pop,pop-->afrofuturism,-77.7166976928711,155.1494140625
post-teen pop,afrofuturism,post-teen pop,post-teen pop-->afrofuturism,-98.18046569824219,159.3038787841797
r&b,afrofuturism,r&b,r&b-->afrofuturism,-60.13731384277344,331.8987121582031
