Label,id
chamber psych,chamber psych
escape room,escape room
ninja,ninja
scottish hip hop,scottish hip hop
indie folk,indie folk
indie poptimism,indie poptimism
indiecoustica,indiecoustica
lilith,lilith
neo mellow,neo mellow
piano rock,piano rock
pop,pop
pop rock,pop rock
post-teen pop,post-teen pop
stomp and holler,stomp and holler
alternative rock,alternative rock
rock,rock
disco,disco
jazz funk,jazz funk
jazz guitar,jazz guitar
jump blues,jump blues
lounge,lounge
motown,motown
quiet storm,quiet storm
smooth jazz,smooth jazz
soft rock,soft rock
soul,soul
soul jazz,soul jazz
swing,swing
vocal jazz,vocal jazz
yacht rock,yacht rock
afropop,afropop
azonto,azonto
nigerian hip hop,nigerian hip hop
nigerian pop,nigerian pop
alte,alte
alternative r&b,alternative r&b
atl hip hop,atl hip hop
dance pop,dance pop
electropop,electropop
indie soul,indie soul
neo soul,neo soul
pop rap,pop rap
r&b,r&b
rap,rap
urban contemporary,urban contemporary
desert blues,desert blues
griot,griot
mbalax,mbalax
musique peule,musique peule
world,world
birmingham hip hop,birmingham hip hop
grime,grime
trap queen,trap queen
indie rock,indie rock
modern blues rock,modern blues rock
hip hop,hip hop
southern hip hop,southern hip hop
art rock,art rock
beatlesque,beatlesque
classic rock,classic rock
mellow gold,mellow gold
bedroom pop,bedroom pop
edm,edm
hip pop,hip pop
indie electropop,indie electropop
indie pop,indie pop
indietronica,indietronica
la pop,la pop
modern alternative rock,modern alternative rock
modern indie pop,modern indie pop
modern rock,modern rock
nyc pop,nyc pop
nz pop,nz pop
vapor soul,vapor soul
vapor twitch,vapor twitch
freak folk,freak folk
small room,small room
anti-folk,anti-folk
art pop,art pop
atlanta indie,atlanta indie
auckland indie,auckland indie
austindie,austindie
australian alternative rock,australian alternative rock
australian dance,australian dance
australian electropop,australian electropop
australian indie,australian indie
baltimore indie,baltimore indie
baroque pop,baroque pop
british indie rock,british indie rock
brooklyn indie,brooklyn indie
chillwave,chillwave
collage pop,collage pop
dance rock,dance rock
dance-punk,dance-punk
deep house,deep house
disco house,disco house
dream pop,dream pop
electro house,electro house
electronic rock,electronic rock
electronica,electronica
elephant 6,elephant 6
experimental pop,experimental pop
experimental rock,experimental rock
filter house,filter house
french indie pop,french indie pop
garage psych,garage psych
garage rock,garage rock
garage rock revival,garage rock revival
german house,german house
hamburg electronic,hamburg electronic
house,house
indie surf,indie surf
irish rock,irish rock
kiwi rock,kiwi rock
la indie,la indie
metropopolis,metropopolis
neo-psychedelic,neo-psychedelic
neo-synthpop,neo-synthpop
new french touch,new french touch
new orleans indie,new orleans indie
new rave,new rave
new weird america,new weird america
noise pop,noise pop
noise rock,noise rock
northern irish indie,northern irish indie
norwegian pop,norwegian pop
nu disco,nu disco
oxford indie,oxford indie
psychedelic hip hop,psychedelic hip hop
rock independant francais,rock independant francais
shimmer pop,shimmer pop
shoegaze,shoegaze
socal pop punk,socal pop punk
swedish alternative rock,swedish alternative rock
swedish electropop,swedish electropop
swedish indie pop,swedish indie pop
swedish synthpop,swedish synthpop
tropical house,tropical house
