label,x,y,id,attributes,color,size,artist
0zOcE3mg9nS6l3yxt1Y0bK,-308.84478759765625,884.934326171875,0zOcE3mg9nS6l3yxt1Y0bK,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,The Fray
2BqGcPMYKUBDhza7h0fqFq,-2464.382568359375,-1071.940185546875,2BqGcPMYKUBDhza7h0fqFq,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,NVTHVN
6VxCmtR7S3yz4vnzsJqhSV,36.394248962402344,-222.22259521484375,6VxCmtR7S3yz4vnzsJqhSV,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Sheppard
4gwpcMTbLWtBUlOijbVpuu,672.419677734375,-15.001692771911621,4gwpcMTbLWtBUlOijbVpuu,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Capital Cities
1XyjBsbZBunXsYDTkaYtk9,171.27542114257812,-1154.5196533203125,1XyjBsbZBunXsYDTkaYtk9,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Knox Hamilton
1PbBg2aYjWLKRk84zJK15x,-216.06085205078125,-640.2185668945312,1PbBg2aYjWLKRk84zJK15x,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Echosmith
1WvvwcQx0tj6NdDhZZ2zZz,116.30018615722656,1172.991943359375,1WvvwcQx0tj6NdDhZZ2zZz,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Future Islands
5xeBMeW0YzWIXSVzAxhM8O,378.796630859375,1341.36865234375,5xeBMeW0YzWIXSVzAxhM8O,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,of Montreal
4kI8Ie27vjvonwaB2ePh8T,375.0867004394531,392.95257568359375,4kI8Ie27vjvonwaB2ePh8T,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Portugal. The Man
0t1AYhgaUaqWIo8Euc5yuQ,-84.6585693359375,377.1635437011719,0t1AYhgaUaqWIo8Euc5yuQ,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Count Counsellor
3LedjkHgJTjLJfDTM5YgmD,794.2453002929688,-643.3373413085938,3LedjkHgJTjLJfDTM5YgmD,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Pacific Air
58R5LHkK3vkmEyGUPOR5kS,473.0376281738281,-298.3518981933594,58R5LHkK3vkmEyGUPOR5kS,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,KONGOS
3yeE0OHtv71FH9FYE3JdLZ,-15.535709381103516,-1286.3887939453125,3yeE0OHtv71FH9FYE3JdLZ,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Waters
5E4iLecVciUgfwg1gDjFHa,518.433349609375,-186.08062744140625,5E4iLecVciUgfwg1gDjFHa,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Madaila
3VAxb3UskTNiHAKh4UeOEv,47.6241455078125,-49.24666213989258,3VAxb3UskTNiHAKh4UeOEv,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,JR JR
0LsTFjEB1IIrh7IlTxs1GY,1079.3074951171875,438.1102600097656,0LsTFjEB1IIrh7IlTxs1GY,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Phantom Planet
2HkSsS8O2U2gPhnCGVN5vn,-1382.5244140625,-898.6944580078125,2HkSsS8O2U2gPhnCGVN5vn,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,BETWEEN FRIENDS
5WUlDfRSoLAfcVSX1WnrxN,-1370.7110595703125,878.9343872070312,5WUlDfRSoLAfcVSX1WnrxN,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Sia
57dN52uHvrHOxijzpIgu3E,721.9918823242188,1041.904052734375,57dN52uHvrHOxijzpIgu3E,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Ratatat
5cIc3SBFuBLVxJz58W2tU9,-768.0775756835938,-247.4197235107422,5cIc3SBFuBLVxJz58W2tU9,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Oh Wonder
066X20Nz7iquqkkCW6Jxy6,609.3197021484375,1256.266845703125,066X20Nz7iquqkkCW6Jxy6,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,LCD Soundsystem
6MDME20pz9RveH9rEXvrOM,-1172.4354248046875,1132.6312255859375,6MDME20pz9RveH9rEXvrOM,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Clean Bandit
16oZKvXb6WkQlVAjwo2Wbg,-182.18814086914062,230.23728942871094,16oZKvXb6WkQlVAjwo2Wbg,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,The Lumineers
3jNkaOXasoc7RsxdchvEVq,-493.8992919921875,575.7183837890625,3jNkaOXasoc7RsxdchvEVq,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Chase & Status
3wWtfT7S2uVJJ3hGZlOLkZ,-120.45964050292969,-746.409912109375,3wWtfT7S2uVJJ3hGZlOLkZ,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Judah & the Lion
5ApQnMT6oR8eLguf24xb9S,-126.82969665527344,-547.3819580078125,5ApQnMT6oR8eLguf24xb9S,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Foreign Air
3nFkdlSjzX9mRTtwJOzDYB,-2974.962646484375,1103.0462646484375,3nFkdlSjzX9mRTtwJOzDYB,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,JAY-Z
40Yq4vzPs9VNUrIBG5Jr2i,1356.564208984375,2133.982666015625,40Yq4vzPs9VNUrIBG5Jr2i,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,The Smashing Pumpkins
3GBPw9NK25X1Wt2OUvOwY3,-236.8873291015625,1578.958984375,3GBPw9NK25X1Wt2OUvOwY3,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Jack Johnson
4qOzMSukiZoiSjPQw8Zs7s,-1023.2178955078125,934.2383422851562,4qOzMSukiZoiSjPQw8Zs7s,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Mansionair
6R664N4cEza3eORSqKSgO4,-52.8746337890625,-1159.479736328125,6R664N4cEza3eORSqKSgO4,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Colony House
2FsZnS8gQ8jG1HGnPYNlm9,456.5303649902344,167.55731201171875,2FsZnS8gQ8jG1HGnPYNlm9,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Jamie N Commons
5nCi3BB41mBaMH9gfr6Su0,198.72999572753906,-150.7406768798828,5nCi3BB41mBaMH9gfr6Su0,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,fun.
7enBrBojgBJuPPdqTq4Z5F,-125.38179016113281,1618.75830078125,7enBrBojgBJuPPdqTq4Z5F,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Citizen Cope
1btWGBz4Uu1HozTwb2Lm8A,-493.49957275390625,-689.79150390625,1btWGBz4Uu1HozTwb2Lm8A,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Hippo Campus
1e1aEq15aClaRfxhQPBTwP,-1028.0467529296875,421.3498229980469,1e1aEq15aClaRfxhQPBTwP,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,MEI
2QSPrJfYeRXaltEEiriXN9,1178.7442626953125,-1209.2889404296875,2QSPrJfYeRXaltEEiriXN9,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Tove Styrke
6MKNzi38fPQCFRdWOtHqTJ,1304.767578125,-1302.9754638671875,6MKNzi38fPQCFRdWOtHqTJ,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Erik Hassle
1xLMexpeeTKQ20SwGMaGSK,-378.4979248046875,117.48868560791016,1xLMexpeeTKQ20SwGMaGSK,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Wild Child
0YhUSm86okLWldQVwJkLlP,26.433605194091797,-868.1144409179688,0YhUSm86okLWldQVwJkLlP,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Bad Suns
2x9SpqnPi8rlE9pjHBwmSC,348.4974365234375,1908.7371826171875,2x9SpqnPi8rlE9pjHBwmSC,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Talking Heads
3nUbzTTtP2w4HqvT5y5vkV,557.7696533203125,-877.1207885742188,3nUbzTTtP2w4HqvT5y5vkV,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,The Griswolds
4tZwfgrHOc3mvqYlEYSvVi,952.62158203125,1018.3399047851562,4tZwfgrHOc3mvqYlEYSvVi,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Daft Punk
0n94vC3S9c3mb2HyNAOcjg,-323.1578063964844,184.13807678222656,0n94vC3S9c3mb2HyNAOcjg,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,The Head And The Heart
